,Division,0-2 Years,3-5 Years,6-7 Years,8-14 Years,c-0-2-Years,c-3-5-Years,c-6-7-Years,c-8-14-Years
0,Oxford,0.14,0.29,0.21,0.35,#81107C,#8A55A6,#8A55A6,#8A55A6
1,Perth,0.16,0.4,0.28,0.56,#81107C,#8B95C6,#8A55A6,#8B95C6
2,Muskoka,0.18,0.44,0.23,0.77,#81107C,#8B95C6,#8A55A6,#B3CEE3
3,Prescott and Russell,0.19,0.38,0.29,0.44,#81107C,#8A55A6,#8A55A6,#8B95C6
4,Haliburton,0.19,0.46,0.21,0.71,#81107C,#8B95C6,#8A55A6,#B3CEE3
5,"Stormont, Dundas and Glengarry",0.19,0.32,0.2,0.39,#81107C,#8A55A6,#8A55A6,#8A55A6
6,Lennox and Addington,0.2,0.4,0.32,0.33,#8A55A6,#8B95C6,#8A55A6,#8A55A6
7,Haldimand-Norfolk,0.21,0.32,0.26,0.44,#8A55A6,#8A55A6,#8A55A6,#8B95C6
8,Prince Edward,0.23,0.33,0.37,0.46,#8A55A6,#8A55A6,#8A55A6,#8B95C6
9,Kawartha Lakes,0.24,0.43,0.27,0.3,#8A55A6,#8B95C6,#8A55A6,#8A55A6
10,Elgin,0.25,0.38,0.22,0.46,#8A55A6,#8A55A6,#8A55A6,#8B95C6
11,Renfrew,0.26,0.32,0.2,0.31,#8A55A6,#8A55A6,#8A55A6,#8A55A6
12,Waterloo,0.26,0.35,0.13,0.41,#8A55A6,#8A55A6,#81107C,#8B95C6
13,Wellington,0.26,0.41,0.21,0.28,#8A55A6,#8B95C6,#8A55A6,#8A55A6
14,Parry Sound,0.27,0.48,0.31,0.65,#8A55A6,#8B95C6,#8A55A6,#B3CEE3
15,Hastings,0.27,0.36,0.13,0.4,#8A55A6,#8A55A6,#81107C,#8B95C6
16,Peel,0.28,0.48,0.32,0.54,#8A55A6,#8B95C6,#8A55A6,#8B95C6
17,Kenora,0.28,0.44,0.13,0.2,#8A55A6,#8B95C6,#81107C,#8A55A6
18,Huron,0.29,0.4,0.27,0.44,#8A55A6,#8B95C6,#8A55A6,#8B95C6
19,Niagara,0.29,0.52,0.31,0.46,#8A55A6,#8B95C6,#8A55A6,#8B95C6
20,Simcoe,0.3,0.54,0.36,0.77,#8A55A6,#8B95C6,#8A55A6,#B3CEE3
21,Lanark,0.3,0.57,0.37,0.62,#8A55A6,#8B95C6,#8A55A6,#B3CEE3
22,Dufferin,0.31,0.54,0.41,0.66,#8A55A6,#8B95C6,#8B95C6,#B3CEE3
23,Peterborough,0.31,0.57,0.38,0.51,#8A55A6,#8B95C6,#8A55A6,#8B95C6
24,Ottawa,0.32,0.49,0.21,0.32,#8A55A6,#8B95C6,#8A55A6,#8A55A6
25,Leeds and Grenville,0.33,0.44,0.25,0.54,#8A55A6,#8B95C6,#8A55A6,#8B95C6
26,Northumberland,0.33,0.52,0.29,0.49,#8A55A6,#8B95C6,#8A55A6,#8B95C6
27,Lambton,0.33,0.55,0.28,0.5,#8A55A6,#8B95C6,#8A55A6,#8B95C6
28,Brant,0.35,0.52,0.34,0.47,#8A55A6,#8B95C6,#8A55A6,#8B95C6
29,Hamilton,0.35,0.61,0.39,0.61,#8A55A6,#B3CEE3,#8A55A6,#B3CEE3
30,Greater Sudbury / Grand Sudbury,0.35,0.53,0.32,0.51,#8A55A6,#8B95C6,#8A55A6,#8B95C6
31,Thunder Bay,0.35,0.38,0.14,0.4,#8A55A6,#8A55A6,#81107C,#8B95C6
32,Bruce,0.36,0.42,0.16,0.6,#8A55A6,#8B95C6,#81107C,#B3CEE3
33,Grey,0.36,0.42,0.21,0.63,#8A55A6,#8B95C6,#8A55A6,#B3CEE3
34,Cochrane,0.37,0.47,0.21,0.42,#8A55A6,#8B95C6,#8A55A6,#8B95C6
35,Essex,0.39,0.52,0.29,0.48,#8A55A6,#8B95C6,#8A55A6,#8B95C6
36,Middlesex,0.41,0.55,0.31,0.5,#8B95C6,#8B95C6,#8A55A6,#8B95C6
37,Durham,0.42,0.64,0.41,0.62,#8B95C6,#B3CEE3,#8B95C6,#B3CEE3
38,Nipissing,0.44,0.59,0.32,0.79,#8B95C6,#8B95C6,#8A55A6,#B3CEE3
39,Chatham-Kent,0.44,0.59,0.29,0.51,#8B95C6,#8B95C6,#8A55A6,#8B95C6
40,Rainy River,0.45,0.47,0.04,0.44,#8B95C6,#8B95C6,#81107C,#8B95C6
41,Toronto,0.46,0.69,0.33,0.51,#8B95C6,#B3CEE3,#8A55A6,#8B95C6
42,Timiskaming,0.47,0.43,0.06,0.91,#8B95C6,#8B95C6,#81107C,#EDF8FA
43,Frontenac,0.49,0.62,0.33,0.49,#8B95C6,#B3CEE3,#8A55A6,#8B95C6
44,York,0.5,0.9,0.43,0.8,#8B95C6,#EDF8FA,#8B95C6,#EDF8FA
45,Algoma,0.55,0.49,0.14,0.35,#8B95C6,#8B95C6,#81107C,#8A55A6
46,Sudbury,0.55,0.62,0.12,0.67,#8B95C6,#B3CEE3,#81107C,#B3CEE3
47,Halton,0.57,0.84,0.48,0.77,#8B95C6,#EDF8FA,#8B95C6,#B3CEE3
48,Manitoulin,0.65,0.71,0.42,0.7,#B3CEE3,#B3CEE3,#8B95C6,#B3CEE3
